City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,75,US,1531601460,45,42.65,-73.75,87.8,6.93
1,jamestown,0,AU,1531602141,70,-33.21,138.6,35.67,9.28
2,llanes,0,ES,1531602386,88,43.42,-4.75,62.13,0.89
3,neiba,20,DO,1531598400,62,18.49,-71.42,89.6,20.8
4,mataura,24,NZ,1531602387,81,-46.19,168.86,41.7,17.9
5,nikolskoye,0,RU,1531600200,64,59.7,30.79,68.0,4.47
6,tiksi,0,RU,1531602387,70,71.64,128.87,48.54,5.37
7,puerto ayora,75,EC,1531598400,69,-0.74,-90.35,78.8,12.75
8,hilo,75,US,1531598160,74,19.71,-155.08,80.6,4.7
9,longyearbyen,75,NO,1531601400,86,78.22,15.63,41.0,12.75
10,thompson,75,CA,1531599960,78,55.74,-97.86,71.6,4.7
11,namatanai,80,PG,1531602388,100,-3.66,152.44,79.05,4.59
12,narsaq,40,GL,1531601400,51,60.91,-46.05,60.8,8.05
13,bredasdorp,64,ZA,1531598400,86,-34.53,20.04,39.2,3.36
14,shingu,0,JP,1531602389,97,33.72,135.99,79.32,5.37
15,rikitea,88,PF,1531602389,98,-23.12,-134.97,75.9,17.0
16,new norfolk,0,AU,1531598400,93,-42.78,147.06,37.4,1.12
17,upernavik,8,GL,1531602390,100,72.79,-56.15,35.31,6.49
18,moron,56,VE,1531602391,69,10.49,-68.2,80.67,4.25
19,sarakhs,0,TM,1531598400,24,36.54,61.16,89.6,16.11
20,yellowknife,90,CA,1531598400,76,62.45,-114.38,55.4,13.87
21,cape town,0,ZA,1531598400,66,-33.93,18.42,53.6,11.41
22,ushuaia,75,AR,1531598400,74,-54.81,-68.31,35.6,21.92
23,cap malheureux,20,MU,1531598400,68,-19.98,57.61,69.8,6.93
24,barrow,0,AR,1531602392,44,-38.31,-60.23,61.77,16.55
25,kavieng,76,PG,1531602392,100,-2.57,150.8,79.32,4.59
26,carnarvon,0,ZA,1531602392,92,-30.97,22.13,34.14,12.53
27,springdale,75,US,1531598280,41,36.19,-94.13,93.2,10.29
28,hit,0,IQ,1531602393,25,33.64,42.83,83.55,5.93
29,lagoa,0,PT,1531600200,88,37.14,-8.45,66.2,16.11
30,saldanha,0,PT,1531602394,48,41.42,-6.55,70.86,6.82
31,lebu,20,ET,1531602394,93,8.96,38.73,45.93,3.13
32,olinda,90,EC,1531598400,65,-2.03,-79.75,78.8,9.17
33,hobart,0,AU,1531598400,93,-42.88,147.33,37.4,1.12
34,salalah,90,OM,1531597800,94,17.01,54.1,78.8,8.05
35,chokurdakh,0,RU,1531602395,86,70.62,147.9,43.23,13.31
36,gravdal,48,NO,1531601400,82,59.79,5.78,57.2,5.82
37,saint-philippe,75,CA,1531601700,61,45.36,-73.48,82.4,6.93
38,kodiak,40,US,1531598580,78,39.95,-94.76,82.4,5.82
39,nouadhibou,44,MR,1531598400,73,20.93,-17.03,71.6,20.8
40,qaanaaq,68,GL,1531602397,97,77.48,-69.36,35.4,4.03
41,atuona,64,PF,1531602397,100,-9.8,-139.03,79.77,17.45
42,grindavik,75,IS,1531600200,87,63.84,-22.43,53.6,6.93
43,hermanus,36,ZA,1531602398,82,-34.42,19.24,48.45,5.14
44,trairi,0,BR,1531602398,100,-3.28,-39.27,79.5,18.9
45,mar del plata,44,AR,1531602398,100,-46.43,-67.52,32.97,9.62
46,jalu,0,LY,1531602398,28,29.03,21.55,87.42,15.1
47,kahului,40,US,1531598760,62,20.89,-156.47,86.0,16.11
48,ancud,92,CL,1531602399,84,-41.87,-73.83,48.9,10.63
49,pandan,92,PH,1531602399,100,11.72,122.09,81.03,15.99
50,novouzensk,0,RU,1531602399,44,50.46,48.14,74.55,9.73
51,jaisalmer,44,IN,1531602381,58,26.91,70.91,88.86,12.3
52,airai,0,TL,1531602400,87,-8.93,125.41,57.27,2.13
53,bluff,0,AU,1531602400,74,-23.58,149.07,32.79,3.02
54,butaritari,80,KI,1531602401,100,3.07,172.79,82.65,13.76
55,goderich,76,CA,1531602401,69,43.74,-81.71,75.99,6.93
56,alyangula,0,AU,1531602401,100,-13.85,136.42,71.94,9.62
57,punta arenas,0,CL,1531598400,55,-53.16,-70.91,39.2,8.05
58,buta,44,CD,1531602402,96,2.79,24.73,70.86,2.35
59,texarkana,1,US,1531597980,52,33.44,-94.04,91.4,6.93
60,busselton,80,AU,1531602402,100,-33.64,115.35,58.08,19.35
61,san patricio,0,PY,1531602402,55,-26.98,-56.83,78.87,6.93
62,fare,64,PF,1531602403,100,-16.7,-151.02,77.07,11.41
63,mahebourg,20,MU,1531598400,68,-20.41,57.7,69.8,6.93
64,hervey bay,20,AU,1531602403,100,-25.3,152.85,57.72,4.47
65,torbay,90,CA,1531598400,100,47.66,-52.73,51.8,6.93
66,chuy,20,UY,1531602404,85,-33.69,-53.46,59.88,10.63
67,ribeira grande,40,PT,1531600200,73,38.52,-28.7,73.4,9.17
68,bandarbeyla,88,SO,1531602404,85,9.49,50.81,78.24,34.11
69,hobyo,32,SO,1531602405,82,5.35,48.53,75.9,23.6
70,georgetown,75,GY,1531598400,62,6.8,-58.16,87.8,13.87
71,vila franca do campo,75,PT,1531600200,77,37.72,-25.43,69.8,10.29
72,hashtrud,8,IR,1531602406,30,37.48,47.05,71.94,6.38
73,gornopravdinsk,0,RU,1531602406,54,60.06,69.92,61.05,5.93
74,jagdalpur,92,IN,1531602406,98,19.09,82.02,70.32,7.27
75,dingle,80,PH,1531602407,90,11.0,122.67,76.8,4.7
76,bestobe,44,KZ,1531602407,98,52.5,73.1,63.93,5.48
77,faanui,56,PF,1531602407,100,-16.48,-151.75,78.42,12.41
78,victoria,75,BN,1531598400,88,5.28,115.24,80.6,2.24
79,provideniya,0,RU,1531602408,97,64.42,-173.23,44.58,8.72
80,sibolga,92,ID,1531602408,100,1.74,98.78,68.97,1.9
81,kavaratti,44,IN,1531602409,100,10.57,72.64,81.21,28.3
82,santiago,0,CL,1531602000,72,-33.44,-70.65,64.4,10.29
83,kapaa,90,US,1531601100,88,22.08,-159.32,77.0,5.82
84,hambantota,56,LK,1531602410,99,6.12,81.12,79.95,17.45
85,pahalgam,24,IN,1531602165,86,34.03,75.33,31.08,2.13
86,port elizabeth,1,US,1531601700,45,39.31,-74.98,89.6,8.05
87,tasiilaq,0,GL,1531601400,57,65.61,-37.64,51.8,6.93
88,toora-khem,64,RU,1531602411,90,52.47,96.11,53.76,2.68
89,bhadohi,8,IN,1531602411,97,25.39,82.57,77.79,2.57
90,severo-kurilsk,48,RU,1531602415,99,50.68,156.12,48.63,3.69
91,arraial do cabo,0,BR,1531598400,69,-22.97,-42.02,73.4,4.7
92,rocha,24,UY,1531602415,67,-34.48,-54.34,61.68,10.96
93,inhambane,36,MZ,1531602416,100,-23.87,35.38,66.81,5.03
94,mamou,92,GN,1531602416,98,10.37,-12.08,71.31,3.91
95,unecha,0,RU,1531602416,76,52.85,32.69,62.85,4.36
96,kondinskoye,0,RU,1531602416,57,59.65,67.41,61.95,6.82
97,geraldton,40,CA,1531598400,37,49.72,-86.95,86.0,6.93
98,port alfred,92,ZA,1531602417,100,-33.59,26.89,56.64,9.73
99,man,80,CI,1531602417,90,7.41,-7.55,73.92,7.61
100,lufilufi,40,WS,1531598400,78,-13.87,-171.6,82.4,5.82
101,fujin,12,CN,1531602418,98,47.24,132.03,68.88,4.59
102,tubuala,75,PA,1531599360,66,9.52,-79.03,87.8,6.93
103,vaini,92,IN,1531602419,98,15.34,74.49,69.96,8.16
104,nanortalik,0,GL,1531602419,91,60.14,-45.24,40.26,7.94
105,kidal,64,ML,1531602420,16,18.44,1.41,93.09,10.51
106,sioux lookout,75,CA,1531598400,38,50.1,-91.92,87.8,6.93
107,horta,0,ES,1531602000,50,41.43,2.16,77.0,4.7
108,warri,68,NG,1531602420,95,5.52,5.75,75.09,6.6
109,hithadhoo,92,MV,1531602421,100,-0.6,73.08,83.28,13.42
110,leningradskiy,92,RU,1531602421,99,69.38,178.42,33.06,7.83
111,dikson,88,RU,1531602422,100,73.51,80.55,39.45,3.8
112,kaitangata,56,NZ,1531602422,90,-46.28,169.85,46.11,21.25
113,celestun,0,MX,1531602388,92,20.87,-90.4,85.08,19.91
114,port hardy,5,CA,1531598400,82,50.7,-127.42,57.2,5.82
115,saskylakh,68,RU,1531602422,90,71.97,114.09,47.19,11.74
116,castro,92,CL,1531602423,100,-42.48,-73.76,46.2,5.7
117,ankazoabo,20,MG,1531602423,81,-22.29,44.51,59.43,6.38
118,navrongo,0,GH,1531602424,64,10.89,-1.09,84.45,7.49
119,rimbey,40,CA,1531598400,51,52.64,-114.24,62.6,16.11
120,avarua,75,CK,1531598400,73,-21.21,-159.78,75.2,9.17
121,sassandra,92,CI,1531602425,100,4.95,-6.09,75.9,9.62
122,colares,40,PT,1531600200,82,38.8,-9.45,68.0,10.29
123,drayton valley,0,CA,1531602425,55,53.22,-114.98,64.47,15.88
124,san cristobal,75,EC,1531598400,59,-0.39,-78.55,62.6,21.92
125,tuktoyaktuk,20,CA,1531598400,43,69.44,-133.03,69.8,13.87
126,jasrana,68,IN,1531602426,93,27.24,78.65,80.4,2.91
127,sibu,75,MY,1531598400,94,2.29,111.83,75.2,1.34
128,yumen,0,CN,1531602427,48,40.29,97.04,60.6,7.83
129,pascagoula,1,US,1531601580,59,30.37,-88.56,93.2,8.05
130,ariguani,32,CO,1531602427,39,10.25,-74.0,93.72,3.24
131,luderitz,0,NA,1531602428,51,-26.65,15.16,61.68,15.99
132,barcs,68,HR,1531602428,87,45.96,17.46,69.06,2.91
133,lavrentiya,68,RU,1531602428,88,65.58,-170.99,45.3,1.34
134,zavetnoye,32,RU,1531602429,50,47.12,43.89,77.25,4.36
135,yellandu,92,IN,1531602429,98,17.59,80.32,72.93,9.62
136,east london,92,ZA,1531602429,100,-33.02,27.91,58.8,17.45
137,shache,0,CN,1531602430,41,38.42,77.24,70.32,4.14
138,mehamn,44,NO,1531602430,80,71.03,27.85,52.32,3.91
139,ilheus,40,BR,1531598400,78,-14.79,-39.05,77.0,3.36
140,smirnykh,100,RU,1531602431,100,49.74,142.83,48.9,5.7
141,sergeyevka,0,KZ,1531602431,68,53.88,67.42,69.42,13.76
142,paka,0,HR,1531602000,88,45.29,18.06,66.2,4.7
143,guerrero negro,12,MX,1531602431,48,27.97,-114.04,83.28,11.41
144,bulolo,76,PG,1531602432,98,-7.2,146.64,62.4,0.22
145,kungurtug,88,RU,1531602432,100,50.6,97.53,51.33,2.57
146,berlevag,0,NO,1531602432,88,70.86,29.09,49.44,4.14
147,ilulissat,90,GL,1531601400,86,69.22,-51.1,41.0,4.7
148,batemans bay,0,AU,1531602433,100,-35.71,150.18,36.75,4.36
149,esperance,40,TT,1531598400,66,10.24,-61.45,86.0,11.41
150,cherskiy,64,RU,1531602433,71,68.75,161.3,47.1,5.7
151,imbituba,0,BR,1531598400,77,-28.24,-48.67,66.2,6.93
152,amparafaravola,24,MG,1531602434,96,-17.68,48.22,54.57,8.5
153,vicar,8,ES,1531602000,88,36.83,-2.64,71.6,3.36
154,grand island,1,US,1531601700,51,40.92,-98.34,84.2,4.7
155,anito,68,PH,1531602435,99,12.45,125.29,83.91,14.65
156,dzhebariki-khaya,92,RU,1531602435,100,62.22,135.8,60.96,5.93
157,sao joao da barra,20,BR,1531598400,65,-21.64,-41.05,77.0,9.17
158,maragogi,0,BR,1531602436,83,-9.01,-35.22,73.65,6.93
159,gizo,75,IL,1531600320,74,31.8,34.94,82.4,8.05
160,varhaug,0,NO,1531601400,76,58.61,5.65,57.2,2.24
161,oranjestad,20,AW,1531598400,70,12.52,-70.03,86.0,19.46
162,sumbe,12,AO,1531602437,100,-11.2,13.84,67.08,6.38
163,tezu,32,IN,1531602437,85,27.93,96.16,69.51,1.68
164,ler,40,NO,1531601400,82,63.2,10.3,57.2,2.24
165,cidreira,0,BR,1531602438,82,-30.17,-50.22,65.73,4.47
166,te anau,8,NZ,1531602303,76,-45.41,167.72,22.08,2.35
167,tuatapere,8,NZ,1531602438,100,-46.13,167.69,39.45,6.82
168,mount gambier,20,AU,1531602439,95,-37.83,140.78,43.32,4.7
169,harper,40,US,1531601700,32,30.3,-99.24,98.6,12.75
